"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"212","SL",0,1,0.26,84.5,-0.07,0.09
"213","SL",1,1,NA,78.9,0.21,0.41
"214","SL",0,0,NA,91.6,0.36,0.49
"215","CU",0,1,NA,77.3,0.79,-1.15
"216","KC",0,0,NA,78.9,1.31,-1.01
"217","KC",0,0,NA,82.5,0.38,-1.07
"218","CU",0,0,NA,80.1,1.07,-0.78
"219","CU",0,0,NA,80.3,1.48,0.24
"220","SL",0,0,NA,84.6,0.38,0.43
"221","KC",0,1,0.661,81.1,1.23,-1.07
"222","SL",0,1,NA,88.5,0.19,0.59
"223","SL",0,1,NA,85.9,-0.08,0.46
"224","KC",0,0,NA,82.4,0.87,-1.24
"225","SL",0,0,NA,87.1,0.5,-0.1
"226","SL",1,1,NA,83.9,0.28,0.17
"227","SL",1,1,NA,84,0.79,0.19
"228","SL",0,1,NA,77.3,0.02,-0.14
"229","SL",1,1,NA,88.1,0.44,-0.1
"230","CU",0,1,NA,74.9,1.08,-0.82
"231","FC",0,1,0.154,94.4,0.41,1.03
"232","FC",1,1,NA,88,0.37,0.22
"233","CU",0,0,NA,84.3,0.24,-0.9
"234","SL",0,0,NA,85.3,0.3,0.07
"235","SL",0,1,NA,90.9,0.38,0.17
"236","CU",1,1,NA,82.5,1.28,-0.77
"237","CU",0,1,0.748,74.8,1.1,-0.86
"238","SV",0,0,NA,85.7,1.07,0.19
"239","SL",0,0,NA,87.1,-0.12,0.35
"240","KC",0,1,0.921,78.3,0.4,-1.53
"241","FC",0,0,NA,88.2,0.44,0.46
"242","FC",0,0,NA,88.8,-0.16,1.25
"243","FC",0,0,NA,91,0.33,1.02
"244","FC",0,1,NA,87.4,-0.23,0.95
"245","SL",0,0,NA,80.2,0.32,0.18
"246","FC",0,0,NA,85.4,0.29,0.64
"247","SL",0,0,NA,79.3,1.37,0.16
"248","FC",0,0,NA,86.8,0.54,0.65
"249","SL",0,0,NA,80.9,1.18,0.26
"250","CU",0,0,NA,79.2,0.51,-0.5
"251","CU",0,1,NA,80.4,0.52,-1.32
"252","FC",0,0,NA,87.8,0.07,0.97
"253","CU",0,0,NA,77.5,1.12,-1.47
"254","SL",0,1,NA,83.9,0.57,-0.07
"255","CU",1,1,NA,79.1,1.53,0.43
"256","SL",0,0,NA,86.6,0.1,0.37
"257","SL",0,1,0.201,87.2,0.73,-0.21
"258","SV",0,0,NA,85,1.32,-0.22
"259","CU",1,1,NA,81.3,0.9,-1.43
"260","FC",0,0,NA,91.8,0.25,1
"261","SV",0,0,NA,85,1.16,0.02
"262","SL",0,0,NA,84.7,0.24,0.33
"263","FC",0,0,NA,88.4,0.21,0.55
"264","KC",0,1,0.257,81.5,0.99,-0.9
"265","KC",0,1,0.19,86.2,0.01,-0.34
"266","FC",0,0,NA,87,-0.1,0.82
"267","SL",0,0,NA,90.1,0.01,0.46
"268","CU",0,0,NA,83.1,0.41,-1.5
"269","SL",0,0,NA,87.1,0.18,0.37
"270","FC",0,1,0.272,85.8,0.35,0.8
"271","SL",1,1,NA,84.2,0.65,-0.1
"272","CU",0,0,NA,81.6,0.89,-0.88
"273","FC",0,1,0.338,87,0.7,0.39
"274","SL",0,0,NA,84.8,0.34,0.38
"275","FC",0,1,NA,84.1,0.3,0.48
"276","SV",0,1,0.368,78.3,1.3,-0.3
"277","SL",0,1,0.089,85.7,0.53,-0.1
"278","SL",0,0,NA,91.3,0.08,0.41
"279","SL",1,1,NA,93,0.32,0.35
"280","SV",0,0,NA,85.4,1.1,0.12
"281","SL",0,0,NA,88.9,-0.24,0.58
"282","SL",0,1,NA,84.6,0.15,0.03
"283","KC",0,0,NA,79.1,0.22,-1.54
"284","SL",1,1,NA,90.4,-0.25,0.33
"285","SL",0,1,NA,85.8,0.42,-0.17
"286","FC",1,1,NA,90.9,0.06,0.56
"287","FC",0,1,0.121,93.8,0.52,0.94
"288","KC",0,0,NA,79.2,1.23,-0.83
"289","SL",0,0,NA,83.9,0.27,-0.14
"290","CU",0,0,NA,80.4,0.98,0.65
"291","SL",0,0,NA,79.4,0.09,0.11
"292","FC",0,0,NA,84.4,0.18,0.56
"293","SL",0,0,NA,88.9,0.65,0.74
"294","SL",0,0,NA,92.7,0.48,0.56
"295","FC",0,0,NA,94.5,0.19,1
"296","SL",0,1,0.043,90,0.07,0.57
"297","FC",0,1,NA,84.9,0.24,0.84
"298","SV",0,1,NA,84.5,1.04,0.43
"299","SL",0,0,NA,86.2,0.07,0.12
"300","KC",0,0,NA,80.2,0.92,-0.82
"301","CU",0,1,NA,73.1,0.99,-0.86
"302","FC",0,1,0.079,94.4,0.42,0.73
"303","FC",0,0,NA,87.5,0.02,0.56
"304","SL",0,0,NA,84.5,0.42,0.42
"305","KC",0,1,0.257,80.4,0.87,-1.07
"306","CU",0,1,0.411,74.5,0.91,-0.84
"307","SL",1,1,NA,83.3,0.34,0.31
"308","SL",0,0,NA,92.6,0.45,0.56
"309","CU",0,1,NA,78.8,1.27,0.24
"310","CU",0,0,NA,76.5,1.39,-1.44
"311","CU",0,1,0.461,80.5,0.64,-1.07
"312","FC",0,0,NA,88,0.08,0.8
"313","CU",0,1,0.285,79.1,0.99,-1.43
"314","SV",1,1,NA,80.2,1.42,-0.1
"315","SL",0,1,0.342,82.1,1.53,-0.21
"316","FC",0,0,NA,88.1,0.15,0.73
"317","KC",0,0,NA,82.7,0.43,-0.88
"318","CU",0,0,NA,82,0.38,-1.25
"319","SL",0,1,0.078,88.7,0.36,0.16
"320","SL",1,1,NA,91.3,0.29,0.54
"321","SL",0,0,NA,88.3,0.18,0.94
"322","CU",0,1,0.736,76.8,0.84,-1.28
"323","SL",1,1,NA,89.2,-0.28,0.35
"324","SV",0,0,NA,77.8,1.49,-0.21
"325","SL",0,0,NA,88.7,0.25,0.1
"326","CU",0,1,NA,74,0.71,-1.05
"327","SL",0,0,NA,79.8,0.31,0.01
"328","SL",0,1,0.303,84.7,0.93,0.15
"329","KC",0,1,0.855,79.4,1.21,-1.01
"330","SL",0,0,NA,80.8,1.42,-0.24
"331","CU",0,0,NA,79.5,0.76,0.72
"332","FC",0,0,NA,85.3,0.38,0.63
"333","KC",0,0,NA,82.2,0.43,-1.03
"334","CU",0,0,NA,82.4,0.91,-0.8
"335","SV",0,1,0.32,82.9,0.92,0.24
"336","SL",0,0,NA,88,0.5,-0.23
"337","SL",1,1,NA,92.3,0.16,0.4
"338","CU",0,0,NA,78.3,0.47,-0.45
"339","FC",0,1,NA,89.3,0.2,0.96
"340","SL",0,1,0.168,88.6,-0.25,0.37
"341","KC",0,0,NA,81.2,0.35,-1.48
"342","CU",1,1,NA,79.4,0.94,-1.37
"343","SL",0,0,NA,86.4,0.45,0.39
"344","SL",0,1,0.29,89.3,-0.33,0.28
"345","SL",0,0,NA,86.1,0.98,0.88
"346","FC",0,0,NA,85.9,0.16,0.41
"347","FC",0,1,NA,84.6,0.17,0.83
"348","CU",0,0,NA,82.7,0.36,-1.04
"349","FC",0,0,NA,94.8,0.14,0.94
"350","SL",0,1,0.78,88.5,0.03,0.37
"351","SL",0,1,NA,86.3,0.52,-0.07
"352","SV",0,0,NA,76.9,1.35,-0.15
"353","SL",0,0,NA,90.9,-0.34,0.17
"354","SL",0,1,0.039,83.5,1.1,-0.1
"355","SV",0,0,NA,83.9,1.23,-0.02
"356","FC",0,1,0.046,84.5,0.32,0.56
"357","CU",0,1,0,75,1.6,-0.75
"358","SL",0,0,NA,91.7,0.4,0.44
"359","FC",0,1,0.039,87.1,0.21,0.87
"360","KC",0,1,0.124,78.9,1.04,-0.97
"361","FC",0,1,0.013,85.3,0.4,0.25
"362","CU",0,1,NA,80.2,1.23,0.48
"363","CU",1,1,NA,82.7,0.95,-0.3
"364","SL",0,1,0.008,83.4,1,0.13
"365","SV",0,1,0.409,78.6,1.42,-0.1
"366","FC",0,1,NA,85.8,0.22,0.65
"367","SL",0,0,NA,89,0.53,0.04
"368","CU",1,1,NA,77.5,0.77,-1.27
"369","SL",0,0,NA,90.8,-0.18,0.23
"370","KC",0,0,NA,82.4,0.75,-1.04
"371","SL",0,0,NA,92,0.32,0.3
"372","SL",0,1,NA,86.6,0.51,0.18
"373","FC",0,0,NA,90.6,0.12,0.65
"374","KC",0,1,0.168,88.6,-0.15,-0.34
"375","SL",0,1,NA,83.3,-0.06,0.23
"376","SL",0,0,NA,84.5,-0.08,0.37
"377","SL",0,0,NA,87.2,0.3,0.48
"378","CU",0,0,NA,73.1,1.1,-0.94
"379","FC",0,0,NA,88.7,0.15,0.96
"380","FC",0,0,NA,91.1,0.19,0.82
"381","SL",0,1,0.118,88.3,0.26,-0.01
"382","SL",0,1,NA,87.5,0.1,0.33
"383","FC",0,1,0.006,89.2,0.07,0.89
"384","FC",0,0,NA,93.6,0.16,1.31
"385","KC",0,0,NA,79.8,0.59,-1.4
"386","FC",0,0,NA,90.3,0.36,0.61
"387","KC",0,0,NA,83,0.74,-1.2
"388","SL",0,1,NA,85.9,0.56,-0.09
